epoch,loss
0,0.14474041759967804
1,0.06983183324337006
2,0.05428054928779602
3,0.043707165867090225
4,0.03541525825858116
5,0.02971772477030754
6,0.025939231738448143
7,0.0233346838504076
8,0.021509617567062378
9,0.020241834223270416
10,0.01931840553879738
11,0.018595652654767036
12,0.017994793131947517
13,0.017471222206950188
14,0.01700078696012497
15,0.0165745597332716
16,0.01617966778576374
17,0.01580868847668171
18,0.015453825704753399
19,0.015111071988940239
20,0.01477788481861353
21,0.014451074413955212
22,0.014128496870398521
23,0.01381160318851471
24,0.013496896252036095
25,0.01318683847784996
26,0.012880917638540268
27,0.012582390569150448
28,0.012289527803659439
29,0.012006272561848164
30,0.01173371635377407
31,0.011471816338598728
32,0.011223671026527882
33,0.010988784022629261
34,0.010770737193524837
35,0.010566839948296547
36,0.010379010811448097
37,0.010205332189798355
38,0.010048448108136654
39,0.009901235811412334
40,0.009767036885023117
41,0.00964338518679142
42,0.009528964757919312
43,0.009422354400157928
44,0.00932257529348135
45,0.00922871008515358
46,0.009140548296272755
47,0.009054728783667088
48,0.008973686024546623
49,0.008895308710634708
