epoch,loss
0,0.027731195092201233
1,0.01133712474256754
2,0.01037443894892931
3,0.009655769914388657
4,0.009063619188964367
5,0.008554883301258087
6,0.008106785826385021
7,0.007714652922004461
8,0.0073698232881724834
9,0.0070501286536455154
10,0.006753948982805014
11,0.006468812935054302
12,0.006173277739435434
13,0.005833576433360577
14,0.005426017101854086
15,0.004953861236572266
16,0.004514590371400118
17,0.004208805039525032
18,0.003994499798864126
19,0.0038248784840106964
20,0.0036900388076901436
21,0.003580716671422124
22,0.0034920251928269863
23,0.003420021152123809
24,0.0033590267412364483
25,0.0033087600022554398
26,0.003266695188358426
27,0.003231537528336048
28,0.003199554979801178
29,0.003171643242239952
30,0.0031479981262236834
31,0.0031241104006767273
32,0.003104303264990449
33,0.003086357144638896
34,0.003069159109145403
35,0.003054301254451275
36,0.003039231523871422
37,0.0030268544796854258
38,0.0030129747465252876
39,0.0030015003867447376
40,0.00299119483679533
41,0.0029808476101607084
42,0.0029707204084843397
43,0.002963392762467265
44,0.0029533919878304005
45,0.0029451302252709866
46,0.002935948548838496
47,0.0029294046107679605
48,0.0029215237591415644
49,0.0029154852963984013
