epoch,loss,val_loss
0,0.9007097482681274,0.8171692490577698
1,0.7723202705383301,0.7471401691436768
2,0.7195361256599426,0.7144545316696167
3,0.6902791261672974,0.6933342814445496
4,0.6713405251502991,0.6790606379508972
5,0.6604634523391724,0.669981062412262
6,0.6510433554649353,0.6629227995872498
7,0.6436293721199036,0.6577234864234924
8,0.6382919549942017,0.6520843505859375
9,0.6328306198120117,0.6490408778190613
10,0.6280910968780518,0.6450942754745483
11,0.6242927312850952,0.6430436968803406
12,0.6201422214508057,0.6364210844039917
13,0.6157478094100952,0.6339030265808105
14,0.6132984757423401,0.6361060738563538
15,0.612040638923645,0.6321114301681519
16,0.6075146794319153,0.6294459104537964
17,0.6031436920166016,0.630520224571228
18,0.6007055640220642,0.626606822013855
19,0.5962679386138916,0.6251992583274841
20,0.5923211574554443,0.6198337078094482
21,0.5891432762145996,0.6175129413604736
22,0.5860629081726074,0.614021360874176
23,0.5836217403411865,0.6141603589057922
24,0.5813499689102173,0.6129331588745117
25,0.5800962448120117,0.6123340129852295
26,0.5783341526985168,0.61212158203125
27,0.5775302648544312,0.6107934713363647
28,0.5764525532722473,0.6116132140159607
29,0.5755250453948975,0.6105859279632568
30,0.5741032958030701,0.6096764802932739
31,0.5730758309364319,0.6107970476150513
32,0.5726086497306824,0.6098136901855469
33,0.5714664459228516,0.6098599433898926
34,0.570724606513977,0.6099086403846741
35,0.5706143975257874,0.6095435619354248
36,0.5694621801376343,0.6089925169944763
37,0.5687049627304077,0.608951210975647
38,0.5680767297744751,0.6100294589996338
39,0.5676020383834839,0.6091383099555969
40,0.5671303272247314,0.6091371178627014
41,0.5666771531105042,0.6089857220649719
42,0.5661951899528503,0.6091279983520508
43,0.5656996965408325,0.6089497208595276
44,0.5650898814201355,0.6089893579483032
45,0.5645447969436646,0.6092496514320374
46,0.564163327217102,0.6086931228637695
47,0.5639999508857727,0.6090086698532104
48,0.5634124279022217,0.6090239882469177
49,0.5630769729614258,0.6084598302841187
50,0.5627908706665039,0.6093316078186035
51,0.5624276399612427,0.6094104051589966
52,0.5621181130409241,0.6087657809257507
53,0.5617656707763672,0.6086875796318054
54,0.5615199208259583,0.609194278717041
55,0.5612437725067139,0.6094551682472229
56,0.5609115362167358,0.609177827835083
57,0.5605974793434143,0.6092672944068909
58,0.5603347420692444,0.609340250492096
59,0.5601305365562439,0.6090981960296631
60,0.5598743557929993,0.6091775894165039
61,0.5596689581871033,0.609007716178894
62,0.5595306158065796,0.608938992023468
63,0.5592710375785828,0.6096714735031128
64,0.5590865612030029,0.6089077591896057
65,0.5588703751564026,0.6092311143875122
66,0.5587128400802612,0.6093104481697083
67,0.5585193037986755,0.6091806292533875
68,0.5583636164665222,0.609203040599823
69,0.5581928491592407,0.6094236969947815
70,0.5580213069915771,0.6094712615013123
71,0.5578705072402954,0.6095169186592102
72,0.5577439665794373,0.6093581914901733
73,0.5575993061065674,0.6095067858695984
74,0.5574648976325989,0.6095749735832214
75,0.5573511123657227,0.6095168590545654
76,0.5572305917739868,0.6096682548522949
77,0.5571103692054749,0.6097633838653564
78,0.5569714307785034,0.6097939610481262
79,0.5568700432777405,0.6098358035087585
